X,Y
72.77,117.7564
65.12,107.6584
82.02,129.9664
65.16,107.7112
78.19,124.9108
76.29,122.4028
65.86,108.6352
75.69,121.6108
72.44,117.3208
65.14,107.6848
80.03,127.3396
51.96,90.2872
57.74,97.9168
52.02,90.3664
18.63,46.2916
16.71,43.7572
45.07,81.1924
89.87,140.3284
86.91,136.4212
41.21,76.0972
99.11,152.5252
69.25,113.11
91.73,142.7836
72.98,118.0336
22.08,50.8456
95.92,148.3144
87,136.54
18.74,46.4368
15.83,42.5956
25.46,55.3072
7.09,31.0588
97.59,150.5188
13.02,38.8864
13.37,39.3484
55.68,95.1976
96.94,149.6608
34.73,67.5436
73.04,118.1128
74.72,120.3304
51.31,89.4292
51.5,89.68
69.87,113.9284
71.73,116.3836
17.76,45.1432
84.18,132.8176
11.67,37.1044
87.48,137.1736
36.26,69.5632
30.26,61.6432
83.83,132.3556
57.07,97.0324
64.7,107.104
38.18,72.0976
25.2,54.964
12.18,37.7776
94.7,146.704
53.1,91.792
80.75,128.29
19.61,47.5852
78.03,124.6996
27.75,58.33
63.42,105.4144
93.14,144.6448
19.63,47.6116
90.27,140.8564
28.29,59.0428
95.08,147.2056
36.87,70.3684
91.29,142.2028
43.37,78.9484
65.24,107.8168
12.16,37.7512
39.98,74.4736
16.34,43.2688
69.46,113.3872
95.92,148.3144
50.93,88.9276
46.12,82.5784
70.43,114.6676
48.68,85.9576
96.18,148.6576
80.01,127.3132
93.99,145.7668
86.73,136.1836
24.79,54.4228
45.72,82.0504
52.34,90.7888
46.86,83.5552
60.15,101.098
40.8,75.556
66.56,109.5592
85.77,134.9164
28.93,59.8876
63.9,106.048
95.59,147.8788
94.73,146.7436
70.88,115.2616
17.77,45.1564
67.2,110.404
34.58,67.3456
56.88,96.7816
91,141.82
95.22,147.3904
54.68,93.8776
68.77,112.4764
35.52,68.5864
60.71,101.8372
99.14,152.5648
77.54,124.0528
36.67,70.1044
69.7,113.704
81.02,128.6464
9.38,34.0816
28.26,59.0032
7.49,31.5868
48.94,86.3008
94.48,146.4136
26.64,56.8648
89.24,139.4968
83.37,131.7484
71,115.42
36.95,70.474
27.94,58.5808
84.6,133.372
99.5,153.04
11.97,37.5004
58.02,98.2864
25.84,55.8088
15.39,42.0148
69.74,113.7568
98.98,152.3536
68.2,111.724
17.5,44.8
39.3,73.576
69.39,113.2948
63.86,105.9952
70.46,114.7072
36.5,69.88
57.23,97.2436
8.71,33.1972
8.97,33.5404
27.47,57.9604
78.93,125.8876
6.03,29.6596
43.61,79.2652
27.24,57.6568
86.95,136.474
48.47,85.6804
95.24,147.4168
83.88,132.4216
15.65,42.358
14.93,41.4076
92.78,144.1696
40.34,74.9488
89.05,139.246
78.62,125.4784
54.65,93.838
60.35,101.362
9.75,34.57
36.13,69.3916
35.18,68.1376
33.24,65.5768
56.99,96.9268
76.54,122.7328
44.16,79.9912
27.41,57.8812
2.44,24.9208
25.25,55.03
67.46,110.7472
97.9,150.928
83.51,131.9332
33.03,65.2996
76.13,122.1916
10.5,35.56
36.33,69.6556
44.27,80.1364
61.26,102.5632
20.36,48.5752
49.88,87.5416
2.17,24.5644
13.59,39.6388
32.89,65.1148
22.2,51.004
41.84,76.9288
23.26,52.4032
20.72,49.0504
16.72,43.7704
70.61,114.9052
44.86,80.9152
80.83,128.3956
64.7,107.104
4.65,27.838
77.96,124.6072
54.9,94.168
60.22,101.1904
95.13,147.2716
22.57,51.4924
38.99,73.1668
49.95,87.634
81.31,129.0292
4.96,28.2472
4.73,27.9436
2.18,24.5776
26.25,56.35
91.63,142.6516
74.46,119.9872
23.52,52.7464
58.17,98.4844
16.26,43.1632
67.73,111.1036
65.71,108.4372
76.55,122.746
69.59,113.5588
60.06,100.9792
51,89.02
18.86,46.5952
59.47,100.2004
31.02,62.6464
78.42,125.2144
67.16,110.3512
64.21,106.4572
17.65,44.998
45.07,81.1924
69.62,113.5984
14.43,40.7476
34.33,67.0156
22.66,51.6112
73.59,118.8388
40.41,75.0412
31.06,62.6992
1.26,23.3632
46.15,82.618
38.87,73.0084
76.87,123.1684
52.82,91.4224
70.35,114.562
22.94,51.9808
81.61,129.4252
54.83,94.0756
46.73,83.3836
80.65,128.158
29.22,60.2704
68.57,112.2124
92.48,143.7736
23.59,52.8388
83.88,132.4216
69.23,113.0836
37.82,71.6224
41.81,76.8892
34.44,67.1608
37.84,71.6488
51.34,89.4688
34.7,67.504
74.14,119.5648
48,85.06
1.77,24.0364
73.91,119.2612
73.29,118.4428
1.27,23.3764
61.05,102.286
17.38,44.6416
17.98,45.4336
54.3,93.376
70.69,115.0108
59.3,99.976
90.88,141.6616
15.43,42.0676
96.78,149.4496
21.3,49.816
79.81,127.0492
38.28,72.2296
20.73,49.0636
13.78,39.8896
55.67,95.1844
55.06,94.3792
14.51,40.8532
64.3,106.576
36.82,70.3024
88.05,137.926
29.79,61.0228
27.7,58.264
60.18,101.1376
68.63,112.2916
42.71,78.0772
85.65,134.758
21.27,49.7764
32.14,64.1248
88.28,138.2296
35.1,68.032
79.19,126.2308
69.09,112.8988
80.74,128.2768
20.03,48.1396
32.62,64.7584
39.17,73.4044
60.56,101.6392
65.24,107.8168
90.95,141.754
71.19,115.6708
48.6,85.852
52.33,90.7756
93.05,144.526
94.38,146.2816
98.18,151.2976
20.17,48.3244
59.19,99.8308
46.42,82.9744
97.42,150.2944
11.28,36.5896
98.25,151.39
46.18,82.6576
55.52,94.9864
50.82,88.7824
69.93,114.0076
76.44,122.6008
36.29,69.6028
60.8,101.956
0.99,23.0068
10.83,35.9956
5.24,28.6168
67.66,111.0112
45.93,82.3276
2.26,24.6832
98.04,151.1128
90.1,140.632
34.34,67.0288
44.56,80.5192
83.69,132.1708
16.35,43.282
76.93,123.2476
32.46,64.5472
40.16,74.7112
94.03,145.8196
44.21,80.0572
4.64,27.8248
74.71,120.3172
41.17,76.0444
59.93,100.8076
17.8,45.196
5.5,28.96
21.83,50.5156
52.17,90.5644
71.31,115.8292
22.02,50.7664
22.89,51.9148
69.86,113.9152
7.86,32.0752
56.34,96.0688
2.6,25.132
82.29,130.3228
51.94,90.2608
20.28,48.4696
44.89,80.9548
10.41,35.4412
35.87,69.0484
58.9,99.448
89.92,140.3944
93.09,144.5788
23.14,52.2448
56.76,96.6232
35.95,69.154
30.48,61.9336
48.71,85.9972
97.69,150.6508
59.72,100.5304
39.7,74.104
14.4,40.708
55.73,95.2636
22.66,51.6112
78.85,125.782
55.15,94.498
10.71,35.8372
75.86,121.8352
64.2,106.444
91.53,142.5196
34.89,67.7548
82.21,130.2172
65.41,108.0412
25.29,55.0828
73.35,118.522
26.5,56.68
36.86,70.3552
12.33,37.9756
92.04,143.1928
25.86,55.8352
0.44,22.2808
19.23,47.0836
52.87,91.4884
62.83,104.6356
56.27,95.9764
0.33,22.1356
25.14,54.8848
68.48,112.0936
22.68,51.6376
97.28,150.1096
24.85,54.502
62.24,103.8568
99.8,153.436
26.9,57.208
79.04,126.0328
1.13,23.1916
78.4,125.188
81.23,128.9236
53.04,91.7128
49.61,87.1852
15.08,41.6056
55.36,94.7752
47.91,84.9412
82.93,131.1676
61.56,102.9592
67.81,111.2092
55.63,95.1316
33.79,66.3028
86.66,136.0912
16.89,43.9948
24.83,54.4756
12.9,38.728
78.39,125.1748
58.9,99.448
11.73,37.1836
44.24,80.0968
31.47,63.2404
58.61,99.0652
15.7,42.424
27.52,58.0264
72.2,117.004
15.96,42.7672
32.14,64.1248
73.06,118.1392
82.47,130.5604
33.99,66.5668
17.27,44.4964
19.18,47.0176
