X,Y
72.77,155.54
65.12,140.24
82.02,174.04
65.16,140.32
78.19,166.38
76.29,162.58
65.86,141.72
75.69,161.38
72.44,154.88
65.14,140.28
80.03,170.06
51.96,113.92
57.74,125.48
52.02,114.04
18.63,47.26
16.71,43.42
45.07,100.14
89.87,189.74
86.91,183.82
41.21,92.42
99.11,208.22
69.25,148.5
91.73,193.46
72.98,155.96
22.08,54.16
95.92,201.84
87,184
18.74,47.48
15.83,41.66
25.46,60.92
7.09,24.18
97.59,205.18
13.02,36.04
13.37,36.74
55.68,121.36
96.94,203.88
34.73,79.46
73.04,156.08
74.72,159.44
51.31,112.62
51.5,113
69.87,149.74
71.73,153.46
17.76,45.52
84.18,178.36
11.67,33.34
87.48,184.96
36.26,82.52
30.26,70.52
83.83,177.66
57.07,124.14
64.7,139.4
38.18,86.36
25.2,60.4
12.18,34.36
94.7,199.4
53.1,116.2
80.75,171.5
19.61,49.22
78.03,166.06
27.75,65.5
63.42,136.84
93.14,196.28
19.63,49.26
90.27,190.54
28.29,66.58
95.08,200.16
36.87,83.74
91.29,192.58
43.37,96.74
65.24,140.48
12.16,34.32
39.98,89.96
16.34,42.68
69.46,148.92
95.92,201.84
50.93,111.86
46.12,102.24
70.43,150.86
48.68,107.36
96.18,202.36
80.01,170.02
93.99,197.98
86.73,183.46
24.79,59.58
45.72,101.44
52.34,114.68
46.86,103.72
60.15,130.3
40.8,91.6
66.56,143.12
85.77,181.54
28.93,67.86
63.9,137.8
95.59,201.18
94.73,199.46
70.88,151.76
17.77,45.54
67.2,144.4
34.58,79.16
56.88,123.76
91,192
95.22,200.44
54.68,119.36
68.77,147.54
35.52,81.04
60.71,131.42
99.14,208.28
77.54,165.08
36.67,83.34
69.7,149.4
81.02,172.04
9.38,28.76
28.26,66.52
7.49,24.98
48.94,107.88
94.48,198.96
26.64,63.28
89.24,188.48
83.37,176.74
71,152
36.95,83.9
27.94,65.88
84.6,179.2
99.5,209
11.97,33.94
58.02,126.04
25.84,61.68
15.39,40.78
69.74,149.48
98.98,207.96
68.2,146.4
17.5,45
39.3,88.6
69.39,148.78
63.86,137.72
70.46,150.92
36.5,83
57.23,124.46
8.71,27.42
8.97,27.94
